category,sku,value,title,imageUrl,description
cerveja-de-trigo,PR01-16273,05.99,Cerveja Hoegaarden Wit 330ml,https://emporiodacerveja.vtexassets.com/arquivos/ids/169192-1200-auto?width=1200&height=auto&aspect=true,"A Cerveja Hoegaarden Wit 330 ml é uma Witbier belga: feita de trigo, de cor clara e turva. As sementes de coentro e raspas de casca de laranja, utilizadas em sua produção, lhe conferem um gosto refrescante e suave, e ao mesmo tempo doce e 	levemente cítrico."
cerveja-de-trigo,PR02-91735,12.79,Cerveja Patagonia Weisse 740ml,https://emporiodacerveja.vtexassets.com/arquivos/ids/179266-1200-auto?width=1200&height=auto&aspect=true,"O aroma cítrico e a cor clara da Patagonia Weisse 740 ml são características tradicionais das Witbiers. As notas de laranja, limão e abacaxi equilibram perfeitamente o aroma e o sabor refrescante e pouco adocicado desta cerveja."
cerveja-de-trigo,PR03-71632,19.53,Cerveja Erdinger Tradicional Weiss 500ml,https://emporiodacerveja.vtexassets.com/arquivos/ids/175042-1200-auto?width=1200&height=auto&aspect=true,"Refrescante, encorpada, aromática e levemente frutada é a ícone entre as cervejas de trigo. Harmoniza com sushis, peixes, frutos do mar, saladas, grelhados, salsichas e pratos apimentados."
india-pale-ale,PR04-84739,07.92,Cerveja Patagonia 24.7 355ml,https://emporiodacerveja.vtexassets.com/arquivos/ids/177121-1200-auto?width=1200&height=auto&aspect=true, "Celebrada por seu sabor único, a Patagonia 24.7, famosa Session IPA com sauco e mel, chega ao Brasil. Seu nome é inspirado pelo quilômetro exato onde está localizada a cervejaria argentina no Circuito Chico, em Bariloche."
india-pale-ale,PR05-22791,07.42,Cerveja Maniacs IPA 355ml,https://emporiodacerveja.vtexassets.com/arquivos/ids/173709-1200-auto?width=1200&height=auto&aspect=true,"A Maniacs IPA é uma cerveja PURO MALTE, com aroma e amargor pronunciados. O estilo India Pale Ale (IPA) é oriundo da Inglaterra. Nossa Maniacs IPA tem grande adição de lúpulos que proporcionam aromas frutados e amargor marcante."
india-pale-ale,PR06-84628,15.99,Cerveja Colorado Vixnu 600ml,https://emporiodacerveja.vtexassets.com/arquivos/ids/169392-1200-auto?width=1200&height=auto&aspect=true,"Colorado Vixnu (600ml), além de ser o nome de uma das principais divindades hindus, é também o nome desta deliciosa variação da receita Imperial India Pale Ale. A mistura de lúpulos americanos com toque especial da rapadura conferem a essa cerveja um delicioso equilíbrio entre o sabor do malte e as notas cítricas do maracujá."
india-pale-ale,PR07-18541,25.90,Cerveja Three Monkeys Classic West Coast IPA 500ml,https://emporiodacerveja.vtexassets.com/arquivos/ids/173826-1200-auto?width=1200&height=auto&aspect=true,"Nada supera o CLÁSSICO! Lúpulos tradicionais como Amarillo, Centennial e Citra com a modernidade e tropicalidade do El Dorado e do Galaxy. Um perfil clean vindo do fermento americano e dos maltes cuidadosamente selecionados criando uma base pro lúpulo brilhar, como uma IPA deve ser."
india-pale-ale,PR08-02735,07.92,Cerveja Roleta Russa Easy IPA 350ml,https://emporiodacerveja.vtexassets.com/arquivos/ids/175242-1200-auto?width=1200&height=auto&aspect=true,"Estilo americano, de coloração amarelo claro, espuma branca de boa formação e persistência. Aroma e sabor cítrico que remetem a frutas tropicais e amarelas, como maracujá e mamão papaia. Corpo leve, boa carbonatação e alta drinkability."
india-pale-ale,PR09-65282,11.99,Cerveja Wals Session Citra 600ml, https://emporiodacerveja.vtexassets.com/arquivos/ids/169207-1200-auto?width=1200&height=auto&aspect=true, "A massiva quantidade de lúpulo americano Citra e base de malte fazem dessa Session IPA uma explosão de refrescância. Possui amargor moderado e aroma cítrico. A Cerveja Wals Session Citra 600ml, mesmo consumida em grandes quantidades, não perde suas qualidades nem seus sabores intensos (sempre relevantes ao paladar)."
india-pale-ale,PR10-35163,19.53,Cerveja Hocus Pocus Interstellar American IPA 500ml, https://emporiodacerveja.vtexassets.com/arquivos/ids/179014-1200-auto?width=1200&height=auto&aspect=true, "A Interstellar é a primeira American IPA feita pela Hocus Pocus. Utilizando o dobro da quantidade de lúpulos da APA Cadabra em um perfil bem diferente que inclui Azacca e Mosaic, a Interstellar é uma bomba de aromas de manga e maracujá, com sabor de lúpulo extremo para uma IPA"
india-pale-ale,PR11-73920,22.90,Cerveja Antuérpia Ipa Tabla 473Ml, https://emporiodacerveja.vtexassets.com/arquivos/ids/179082-1200-auto?width=1200&height=auto&aspect=true, "Uma seleção de oito variedades de lúpulos americanos confere à Antuérpia Tabla um amargor intenso, porém equilibrado, com notas de cítrico, floral e frutado."
india-pale-ale,PR12-83617,18.90,Cerveja Ekaut Session IPA El Chanco 500ml,https://emporiodacerveja.vtexassets.com/arquivos/ids/178758-1200-auto?width=1200&height=auto&aspect=true,"Com aromas frutados, corpo leve, refrescante, amargor equilibrado e baixo teor alcoólico. A junção dos lúpulos El Dorado, Amarillo e Citra deixaram a bebida mais leve com aromas cítricos, florais e de toranja. Para tomar rodeado de amigos."
india-pale-ale,PR13-38718,19.90,Cerveja Antuérpia American IPA 500ml,https://emporiodacerveja.vtexassets.com/arquivos/ids/175135-1200-auto?width=1200&height=auto&aspect=true,"Cerveja forte de coloração âmbar com boa formação de espuma e corpo médio. Com a utilização da técnica single hop entregamos tudo que o lúpulo americano El Dorado tem de melhor: amargor limpo e aroma de frutas tropicais e pêssego. Refrescante e tem alta drincabilidade."
india-pale-ale,PR14-54723,15.99,Cerveja Wals HopCorn IPA 600ml,https://emporiodacerveja.vtexassets.com/arquivos/ids/164721-1200-auto?width=1200&height=auto&aspect=true,"Essa receita parece uma pipoca de lúpulos Columbus, Cascadde, Amarillo e dry hopping de Centennieal. Receita na qual erramos na mão e atingimos 70 IBU's. E utilizamos o polêmico milho na receita. Sinta a potência e equilíbrio da nossa Cerveja Wals HopCorn IPA 600ml com milho."
india-pale-ale,PR15-68271,27.90,Cerveja Capa Preta Mellon Collie IPA 473ml,https://emporiodacerveja.vtexassets.com/arquivos/ids/174043-1200-auto?width=1200&height=auto&aspect=true,"Um clássico da Capa Preta. De coloração dourada e amargor pronunciado, tem como protagonista o incrivel lúpulo alemão Hull Melon e suas notas aromáticas que remetem a frutas doces e melão."
india-pale-ale,PR16-72836,25.90,Cerveja Krug Double Ipa Ignorância 500ml,https://emporiodacerveja.vtexassets.com/arquivos/ids/174001-1200-auto?width=1200&height=auto&aspect=true,"Uma Ignorãncia de sabor! Cerveja forte estilo Double American IPA, amarga, com 6 tipos de lúpulos que trazem um toque cítrico, herbal e frutado a cerveja."
india-pale-ale,PR17-01832,16.90,Cerveja Blondine Martina IPA 600ml,https://emporiodacerveja.vtexassets.com/arquivos/ids/173585-1200-auto?width=1200&height=auto&aspect=true,"Cerveja amarga e poderosa! Para quem procura muito sabor. A força de cada guerreiro está em sua trajetória. Cada vitória é comemorada com orgulho, felicidade e acompanhada com a melhor cerveja. O estilo India Pale Ale é perfeito para os guerreiros fortes, que não temem a batalha e que estão preparados a desbravar fronteiras de sabores potentes."
india-pale-ale,PR18-16372,19.90,Cerveja Dom Casmurro IPA 600ml, https://emporiodacerveja.vtexassets.com/arquivos/ids/175813-1200-auto?width=1200&height=auto&aspect=true,"Cerveja ale foi criada pelos ingleses durante a colonização da Índia. Para resistir à travessia do oceano até o continente asiático, uma viagem que durava meses, esta cerveja de cor âmbar recebeu uma dose extra de lúpulo - o aromatizante natural das cervejas e que possui atividade antibiótica."
india-pale-ale,PR19-36171,19.49,Cerveja Hausen Bier IPA 600ml, https://emporiodacerveja.vtexassets.com/arquivos/ids/173817-1200-auto?width=1200&height=auto&aspect=true, "A Cerveja Hausen Bier IPA 600ml é uma representante da versão americana do estilo. Uma cerveja de alta fermentação, de cor âmbar, de alto teor alcoólico e corpo médio. Possui maltes para suportar o alto amargor e conta também com elevados sabores e aromas de lúpulo que remetem à frutas vermelhas, cítricas e leve amadeirado."
india-pale-ale,PR20-89183,32.90,Cerveja Vedett IPA 330ml,https://emporiodacerveja.vtexassets.com/arquivos/ids/161880-1200-auto?width=1200&height=auto&aspect=true,"Uma cerveja de coloração “cobre” e ligeiramente turva. Possui aromas de frutas cítricas e tropicais, notas verdes e florais. Paladar elegantemente amargo e muito refrescante. Hamorniza bem com carnes com molhos agridoces, culinária chinesa condimentada, linguiças com mostarda, queijos mofados e fortes."
india-pale-ale,PR21-43727,20.90,Cerveja Farra Bier Tomorrowland Double IPA 350ml,https://emporiodacerveja.vtexassets.com/arquivos/ids/176435-1200-auto?width=1200&height=auto&aspect=true, "Ontem é história, hoje é uma dádiva, amanhã é mistério. A Tomorrowland Double IPA veio pra te libertar, te alucinar, te entorpecer. Saborosa e aromática, traz notas cítricas de frutas amarelas, com excelente drinkability."
india-pale-ale,PR22-81923,16.90,Cerveja Blondine Horny Pig 350ml,https://emporiodacerveja.vtexassets.com/arquivos/ids/175713-1200-auto?width=1200&height=auto&aspect=true,"Cerveja Session IPA, uma India Pale Ale com baixo teor alcoólico mas com muito lúpulo americano. Aroma cítrico com notas evidentes de maracujá e lichia, sabor intenso e amargor equilibrado. É uma cerveja aromática e muito refrescante."
india-pale-ale,PR23-01736,35.90,Dádiva Heartbeat Double IPA 473ml,https://emporiodacerveja.vtexassets.com/arquivos/ids/174803-1200-auto?width=1200&height=auto&aspect=true,"Esta nova versão da heartbeat foi feita com nova técnicas de lupulagem, O Citra foi usado na versão Incognito, que é uma tecnologia que mais preserva os óleos essenciais do Lúpulo. O Mosaic na versão T45 além de um toque de lúpulo El Dorado"
india-pale-ale,PR24-27492,31.90,Cerveja Noi Amara Imperial IPA 600ml,https://emporiodacerveja.vtexassets.com/arquivos/ids/175472-1200-auto?width=1200&height=auto&aspect=true,"Possui sabor e aroma resultados de um blend de maltes especiais e lúpulos norte americanos. O amargor é acompanhado de notas florais, condimentadas e cítricas."
india-pale-ale,PR25-71638,25.90,Cerveja Krug Ipa Rancor 500ml,https://emporiodacerveja.vtexassets.com/arquivos/ids/174002-1200-auto?width=1200&height=auto&aspect=true,"O ressentimento é um ódio não manifestado que desafia, de maneira não explicita, seus pensamentos e ações. Para traduzir o sentimento, esta cerveja do estilo India Pale Ale apresenta notas florais que a tornam extremamente refrescante, mas assim como o rancor, seu amargor se acentua à medida que é degustada, deixando sua marca a cada gole."
belgian-ale,PR26-47292,13.99,CERVEJA ARTESANAL HOCUS POCUS ORANGE SUNSHINE 269ML VL,https://cervejabox.vteximg.com.br/arquivos/ids/188299-1000-1000/Cerveja-Artesanal-Hocus-Pocus-Orange-Sunshine-269ml-min.jpg?v=637387291990700000,"Uma Blond Ale com adição de laranja e com o DNA da reverenciada cervejaria carioca Hocus Pocus. Leve, de corpo médio, notas frutadas, cítricas e com final resinoso é uma cerveja muito fácil de beber e uma excelente opção para aqueles que querem sabor e aroma aliados a uma ótima drinkability."
belgian-ale,PR27-71829,19.99,CERVEJA ARTESANAL SAINT BIER BELGIAN ALE 600ML, https://cervejabox.vteximg.com.br/arquivos/ids/181490-1000-1000/Cerveja-artesanal-Saint-Bier-Belgian-Ale-600ml-1.jpg?v=637248702596130000,"A cerveja Saint Bier Golden Ale leva em sua receita dois tipos de maltes que conferem corpo médio e um perfil adocicado ao paladar. Inspirada nas cervejas belgas, ela ainda apresenta aromas que remetem a especiarias e a frutas amarelas como pêssegos em calda. Sua espuma é cremosa e seu amargor é baixo, o que permite apreciar melhor seu encantador sabor."
belgian-ale,PR28-35472,19.99,CERVEJA ARTESANAL LEUVEN GOLDEN ALE KING 500ML,https://cervejabox.vteximg.com.br/arquivos/ids/188061-1000-1000/LEUVEN-min.jpg?v=637375014955770000,"A cerveja artesanal Leuven Golden Ale King tem coloração dourada, boa formação de espumas e corpo leve, com notas frutadas e levemente adocicada. O lúpulo utilizado confere amargor e aroma característivos. Os rótulos da Leuven tem realidade aumentada. Baixe o aplicativo, siga as instruções e veja animações incríveis em cada rótulo! Uma experiência única dentre as cervejas artesanais brasileiras."
belgian-ale,PR29-82711,32.39,CERVEJA BELGA DUVEL 330ML,https://cervejabox.vteximg.com.br/arquivos/ids/189473-1000-1000/Cerveja-Belga-Belgian-Strong-Ale-Duvel-330ml.jpg?v=637432303958000000,"A cerveja belga Duvel é extremamente bem avaliada no Ratebeer e considerada uma das melhores cervejas do mundo é um dos ícones de seu estilo. Complexa e alcoólica, tem formação de espuma abundante e consistente. É saborosa, de alta carbonatação e com acidez em equilíbrio com o dulçor único. Uma cerveja que todo amante de cervejas tem que degustar ao menos uma vez na vida."
belgian-ale,PR30-16372,22.99,CERVEJA ARTESANAL LEUVEN MORFEUS SAISON 500ML, https://cervejabox.vteximg.com.br/arquivos/ids/188304-1000-1000/Leuven-min.jpg?v=637387292033400000, "A Leuven ficou famosa por seus rótulos com realidade aumentada (saiba mais no site), porém, essa cerveja tem um algo a mais! Sua receita veio do concurso de cervejas A CERVA PAULISTA 2018, concurso de cervejeiros caseiros. Ou seja, é literalmente a união entre Brewer Lovers e uma grande cervejaria. Esta Saison é leve, com notas condimentas, frutadas e cítricas dos lúpulos Neozelandeses."
belgian-ale,PR31-25273,42.99,CERVEJA BELGA DELIRIUM TREMENS 330ML,https://cervejabox.vteximg.com.br/arquivos/ids/176656-1000-1000/Cerveja-belga-Delirium-Tremens-330ml-1.jpg?v=637217571179030000, "A cerveja Delirium Tremens é o rótulo mais famoso da marca do elefante rosa. Clássica, bem avaliada no Ratebeer (e pela maioria dos cervejeiros) é uma cerveja complexa, com notas marcantes de malte, especiarias, condimentos e álcool evidente. É uma cerveja icônica e tem a fama de ser a melhor do mundo! Sua inspiração veio dos delírios da abstinência alcoólica!"
belgian-ale,PR32-53721,47.99,CERVEJA BELGA CHIMAY BLUE 330ML,https://cervejabox.vteximg.com.br/arquivos/ids/189476-1000-1000/Cerveja-belga-Chimay-Blue-330ml-min.jpg?v=637432962814770000,"A cerveja Chimay Blue tem pontuação altíssima no Ratebeer e é um dos ícones de seu estilo! Uma cerveja encorpada e alcoólica, com aromas de frutas secas e passas e malte remetendo a caramelo e toffe. Licorosa e forte é ideal para dias de frio ou para acompanhar pratos robustos como carnes de caça e queijos fortes. Um rótulo que cervejeiros não podem deixar de tomar!"
stout,PR33-28174,23.99,CERVEJA ARTESANAL CAMPINAS STOUT ANDARILHA 500ML,https://cervejabox.vteximg.com.br/arquivos/ids/189230-1000-1000/ANDARILHA-min.jpg?v=637424377009300000,"A premiada cervejaria Campinas criou essa saborosa Oatmel Stout. Com legítima receita britânica, utilizando lúpulos ingleses de aroma amadeirado e 5 diferentes tipos de lúpulo, é uma cerveja de corpo médio, amargor moderado e notas remetendo a café! A adição de aveia confere a esta cerveja cremosidade e textura diferenciada no paladar."
stout,PR34-17351,22.99,CERVEJA ARTESANAL EKÄUT COFFEE STOUT 500ML,https://cervejabox.vteximg.com.br/arquivos/ids/191251-1000-1000/34288---Cerveja-Artesanal-Ekaut-Coffee-Stout-500ml-min.jpg?v=637560136155030000,"A cerveja artesanal Ekäut Coffee Stout é fruto da união dos autênticos pernambucanos da Ekäut com a produtora de café Yaguara Ecológico. A base usada foi a da cerveja Ekäut Extra Stout. Com adição de café Arabica Typica, o delicioso sabor do café fica nítido, mas evolui para notas de chocolate, proporcionando uma sensação incrível durante a degustação."
stout,PR35-73482,39.99,CERVEJA INFECTED BREWING YOUR LAST DESSERT RIS 473ML,https://cervejabox.vteximg.com.br/arquivos/ids/191276-1000-1000/36465---Cerveja-Infected-Brewing-Your-Last-Dessert-RIS-473ml-min.jpg?v=637563602584700000,"A Infected Brewing Your Last Dessert é uma cerveja artesanal do estilo Imperial Stout. Elaborada com adição de mistura para brownie, chocolate 100% cacau, noz pecan e lascas de carvalho francês embebidas em bourbon, é uma cerveja densa, cremosa e suculenta. Uma cerveja complexa e perfeita para acompanhar sobremesas ou, por que não, ser a própria sobremesa!"
stout,PR36-36180,28.99,CERVEJA ARTESANAL SCHORNSTEIN IMPERIAL STOUT 500ML,https://cervejabox.vteximg.com.br/arquivos/ids/188611-1000-1000/Cerveja-Schornstein-Imperial-Stout.jpg?v=637402630533330000,"A cerveja Schornstein Imperial Stou foi fabricada com 6 maltes e 2 lúpulos para fazer uma cerveja de personalidade e com características únicas! É uma cerveja encorpada com amargor do lúpulo e torrado do malte evidentes. Teor alcoólico elevado e notas de café e choicolate. Ganhadora de prêmios internacionais é uma Imperial Stout com alma e personalidade!"
stout,PR37-41532,28.99,CERVEJA CIGANA VANILLA SCENT DRY STOUT 473ML VL,https://cervejabox.vteximg.com.br/arquivos/ids/189214-1000-1000/Cerveja-Cigana-Vanilla-Scent-Dry-Stout-473ml-VL-min--1-.jpg?v=637424239310770000, "A fava da baunilha é uma especiaria muito apreciada pelo seu sabor, despertando sensações no paladar e olfato. Assim é está Dry Stout, com um delicado toque da baunilha."
stout,PR38-03743,74.99,CERVEJA ARTESANAL LEOPOLDINA RIS 750ML,https://cervejabox.vteximg.com.br/arquivos/ids/189393-1000-1000/Cerveja-Artesanal-Leopoldina-RIS-750ml.jpg?v=637430492499000000,"A cerveja Leopoldina Russian Imperial Stout é uma cerveja intensa e arrebatadora. Com diferentes camadas de sabor, as notas frutadas abrem caminho para adocicadas nuances de toffee, caramelo e chocolate e são arrematadas por uma forte presença de café. Densa e aveludada no paladar, com perfeito equilíbrio entre o amargor do lúpulo com o dulçor do malte."